2020:03:18 19:41:32.359 [http-nio-8081-exec-6] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver.logException(199) - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; nested exception is java.lang.NumberFormatException: For input string: "NaN"] 
2020:03:18 19:49:30.556 [http-nio-8081-exec-6] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver.logException(199) - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; nested exception is java.lang.NumberFormatException: For input string: "NaN"] 
2020:03:18 19:49:45.179 [http-nio-8081-exec-10] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver.logException(199) - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'int'; nested exception is java.lang.NumberFormatException: For input string: "NaN"] 
2020:03:18 20:23:02.061 [http-nio-8081-exec-1] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 20:23:02.070 [http-nio-8081-exec-1] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 8ms. Found 0 JPA repository interfaces. 
2020:03:18 20:23:17.518 [http-nio-8081-exec-2] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 20:23:17.525 [http-nio-8081-exec-2] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 6ms. Found 0 JPA repository interfaces. 
2020:03:18 20:34:42.949 [http-nio-8081-exec-7] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 20:34:42.977 [http-nio-8081-exec-7] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 19ms. Found 0 JPA repository interfaces. 
2020:03:18 21:08:13.827 [http-nio-8081-exec-3] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 21:08:13.834 [http-nio-8081-exec-3] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 5ms. Found 0 JPA repository interfaces. 
2020:03:18 21:10:49.198 [http-nio-8081-exec-7] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 21:10:49.206 [http-nio-8081-exec-7] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 6ms. Found 0 JPA repository interfaces. 
2020:03:18 21:10:59.478 [http-nio-8081-exec-4] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(127) - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2020:03:18 21:10:59.492 [http-nio-8081-exec-4] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn(187) - Finished Spring Data repository scanning in 13ms. Found 0 JPA repository interfaces. 
